Algorytm;Wielkosc tablicy;Wartosci losowo;Wartosci rosnaco;Wartosci malejaco;Pomocnicza
sortowanie babelkowe;0;0;0;0;0
sortowanie babelkowe;100;4779;99;4950;10000
sortowanie babelkowe;200;19899;199;19900;40000
sortowanie babelkowe;300;44772;299;44850;90000
sortowanie babelkowe;400;79449;399;79800;160000
sortowanie babelkowe;500;121975;499;124750;250000
sortowanie babelkowe;600;179400;599;179700;360000
sortowanie babelkowe;700;244215;699;244650;490000
sortowanie babelkowe;800;319275;799;319600;640000
sortowanie babelkowe;900;404274;899;404550;810000
sortowanie babelkowe;1000;499175;999;499500;1e+06
sortowanie babelkowe;1100;604435;1099;604450;1.21e+06
sortowanie babelkowe;1200;719075;1199;719400;1.44e+06
sortowanie babelkowe;1300;843609;1299;844350;1.69e+06
sortowanie babelkowe;1400;978520;1399;979300;1.96e+06
sortowanie babelkowe;1500;1115735;1499;1124250;2.25e+06
sortowanie babelkowe;1600;1276785;1599;1279200;2.56e+06
sortowanie babelkowe;1700;1443204;1699;1444150;2.89e+06
sortowanie babelkowe;1800;1617330;1799;1619100;3.24e+06
sortowanie babelkowe;1900;1800810;1899;1804050;3.61e+06
sortowanie babelkowe;2000;1997674;1999;1999000;4e+06
sortowanie babelkowe;2100;2201870;2099;2203950;4.41e+06
sortowanie babelkowe;2200;2410772;2199;2418900;4.84e+06
sortowanie babelkowe;2300;2642625;2299;2643850;5.29e+06
sortowanie babelkowe;2400;2876385;2399;2878800;5.76e+06
sortowanie babelkowe;2500;3120669;2499;3123750;6.25e+06
sortowanie babelkowe;2600;3377572;2599;3378700;6.76e+06
sortowanie babelkowe;2700;3639822;2699;3643650;7.29e+06
sortowanie babelkowe;2800;3915750;2799;3918600;7.84e+06
sortowanie babelkowe;2900;4200310;2899;4203550;8.41e+06
sortowanie babelkowe;3000;4497870;2999;4498500;9e+06
sortowanie babelkowe;3100;4801680;3099;4803450;9.61e+06
sortowanie babelkowe;3200;5116804;3199;5118400;1.024e+07
sortowanie babelkowe;3300;5434170;3299;5443350;1.089e+07
sortowanie babelkowe;3400;5777219;3399;5778300;1.156e+07
sortowanie babelkowe;3500;6114472;3499;6123250;1.225e+07
sortowanie babelkowe;3600;6476604;3599;6478200;1.296e+07
sortowanie babelkowe;3700;6838779;3699;6843150;1.369e+07
sortowanie babelkowe;3800;7216924;3799;7218100;1.444e+07
sortowanie babelkowe;3900;7600349;3899;7603050;1.521e+07
sortowanie babelkowe;4000;7995150;3999;7998000;1.6e+07
sortowanie babelkowe;4100;8394822;4099;8402950;1.681e+07
sortowanie babelkowe;4200;8817197;4199;8817900;1.764e+07
sortowanie babelkowe;4300;9242574;4299;9242850;1.849e+07
sortowanie babelkowe;4400;9673335;4399;9677800;1.936e+07
sortowanie babelkowe;4500;10114365;4499;10122750;2.025e+07
sortowanie babelkowe;4600;10576269;4599;10577700;2.116e+07
sortowanie babelkowe;4700;11041165;4699;11042650;2.209e+07
sortowanie babelkowe;4800;11514674;4799;11517600;2.304e+07
sortowanie babelkowe;4900;11996664;4899;12002550;2.401e+07
sortowanie babelkowe;5000;12496174;4999;12497500;2.5e+07
sortowanie babelkowe;5100;12999047;5099;13002450;2.601e+07
sortowanie babelkowe;5200;13512249;5199;13517400;2.704e+07
sortowanie babelkowe;5300;14035795;5299;14042350;2.809e+07
sortowanie babelkowe;5400;14572644;5399;14577300;2.916e+07
sortowanie babelkowe;5500;15110774;5499;15122250;3.025e+07
sortowanie babelkowe;5600;15672640;5599;15677200;3.136e+07
sortowanie babelkowe;5700;16230975;5699;16242150;3.249e+07
sortowanie babelkowe;5800;16817045;5799;16817100;3.364e+07
sortowanie babelkowe;5900;17396055;5899;17402050;3.481e+07
sortowanie babelkowe;6000;17996864;5999;17997000;3.6e+07
sortowanie babelkowe;6100;18595164;6099;18601950;3.721e+07
sortowanie babelkowe;6200;19204497;6199;19216900;3.844e+07
sortowanie babelkowe;6300;19836390;6299;19841850;3.969e+07
sortowanie babelkowe;6400;20461749;6399;20476800;4.096e+07
sortowanie babelkowe;6500;21112297;6499;21121750;4.225e+07
sortowanie babelkowe;6600;21776034;6599;21776700;4.356e+07
sortowanie babelkowe;6700;22435095;6699;22441650;4.489e+07
sortowanie babelkowe;6800;23110714;6799;23116600;4.624e+07
sortowanie babelkowe;6900;23799534;6899;23801550;4.761e+07
sortowanie babelkowe;7000;24491247;6999;24496500;4.9e+07
sortowanie babelkowe;7100;25188889;7099;25201450;5.041e+07
sortowanie babelkowe;7200;25912029;7199;25916400;5.184e+07
sortowanie babelkowe;7300;26617914;7299;26641350;5.329e+07
sortowanie babelkowe;7400;27375075;7399;27376300;5.476e+07
sortowanie babelkowe;7500;28111797;7499;28121250;5.625e+07
sortowanie babelkowe;7600;28866884;7599;28876200;5.776e+07
sortowanie babelkowe;7700;29628270;7699;29641150;5.929e+07
sortowanie babelkowe;7800;30412530;7799;30416100;6.084e+07
sortowanie babelkowe;7900;31184760;7899;31201050;6.241e+07
sortowanie babelkowe;8000;31989330;7999;31996000;6.4e+07
sortowanie babelkowe;8100;32792172;8099;32800950;6.561e+07
sortowanie babelkowe;8200;33614415;8199;33615900;6.724e+07
sortowanie babelkowe;8300;34430554;8299;34440850;6.889e+07
sortowanie babelkowe;8400;35274204;8399;35275800;7.056e+07
sortowanie babelkowe;8500;36119930;8499;36120750;7.225e+07
sortowanie babelkowe;8600;36975634;8599;36975700;7.396e+07
sortowanie babelkowe;8700;37832394;8699;37840650;7.569e+07
sortowanie babelkowe;8800;38714169;8799;38715600;7.744e+07
sortowanie babelkowe;8900;39582784;8899;39600550;7.921e+07
sortowanie babelkowe;9000;40491035;8999;40495500;8.1e+07
sortowanie babelkowe;9100;41393780;9099;41400450;8.281e+07
sortowanie babelkowe;9200;42307525;9199;42315400;8.464e+07
sortowanie babelkowe;9300;43238972;9299;43240350;8.649e+07
sortowanie babelkowe;9400;44174172;9399;44175300;8.836e+07
sortowanie babelkowe;9500;45101529;9499;45120250;9.025e+07
sortowanie babelkowe;9600;46063724;9599;46075200;9.216e+07
sortowanie babelkowe;9700;47033934;9699;47040150;9.409e+07
sortowanie babelkowe;9800;48004369;9799;48015100;9.604e+07
sortowanie babelkowe;9900;48987804;9899;49000050;9.801e+07
sortowanie przez wstawianie;0;0;0;0;0
sortowanie przez wstawianie;100;2343;99;4950;10000
sortowanie przez wstawianie;200;10447;199;19900;40000
sortowanie przez wstawianie;300;21117;299;44850;90000
sortowanie przez wstawianie;400;41122;399;79800;160000
sortowanie przez wstawianie;500;60759;499;124750;250000
sortowanie przez wstawianie;600;90664;599;179700;360000
sortowanie przez wstawianie;700;120497;699;244650;490000
sortowanie przez wstawianie;800;157969;799;319600;640000
sortowanie przez wstawianie;900;205504;899;404550;810000
sortowanie przez wstawianie;1000;251073;999;499500;1e+06
sortowanie przez wstawianie;1100;300189;1099;604450;1.21e+06
sortowanie przez wstawianie;1200;347229;1199;719400;1.44e+06
sortowanie przez wstawianie;1300;425034;1299;844350;1.69e+06
sortowanie przez wstawianie;1400;488991;1399;979300;1.96e+06
sortowanie przez wstawianie;1500;553374;1499;1124250;2.25e+06
sortowanie przez wstawianie;1600;649703;1599;1279200;2.56e+06
sortowanie przez wstawianie;1700;706703;1699;1444150;2.89e+06
sortowanie przez wstawianie;1800;793423;1799;1619100;3.24e+06
sortowanie przez wstawianie;1900;897055;1899;1804050;3.61e+06
sortowanie przez wstawianie;2000;1020884;1999;1999000;4e+06
sortowanie przez wstawianie;2100;1082291;2099;2203950;4.41e+06
sortowanie przez wstawianie;2200;1205124;2199;2418900;4.84e+06
sortowanie przez wstawianie;2300;1323763;2299;2643850;5.29e+06
sortowanie przez wstawianie;2400;1485601;2399;2878800;5.76e+06
sortowanie przez wstawianie;2500;1556032;2499;3123750;6.25e+06
sortowanie przez wstawianie;2600;1709085;2599;3378700;6.76e+06
sortowanie przez wstawianie;2700;1839835;2699;3643650;7.29e+06
sortowanie przez wstawianie;2800;1958500;2799;3918600;7.84e+06
sortowanie przez wstawianie;2900;2090162;2899;4203550;8.41e+06
sortowanie przez wstawianie;3000;2254670;2999;4498500;9e+06
