Algorytm;Wielkosc tablicy;Wartosci losowo;Wartosci rosnaco;Wartosci malejaco
sortowanie babelkowe;100;4935;99;4950
sortowanie babelkowe;200;19197;199;19897
sortowanie babelkowe;300;44220;299;44847
sortowanie babelkowe;400;79734;399;79794
sortowanie babelkowe;500;122539;499;124744
sortowanie babelkowe;600;179510;599;179694
sortowanie babelkowe;700;243272;699;244640
sortowanie babelkowe;800;319104;799;319590
sortowanie babelkowe;900;404397;899;404540
sortowanie babelkowe;1000;499310;999;499445
sortowanie babelkowe;1100;604099;1099;604359
sortowanie babelkowe;1200;716079;1199;719309
sortowanie babelkowe;1300;842754;1299;844214
sortowanie babelkowe;1400;977589;1399;979164
sortowanie babelkowe;1500;1121475;1499;1124060
sortowanie babelkowe;1600;1277660;1599;1278990
sortowanie babelkowe;1700;1441939;1699;1443919
sortowanie babelkowe;1800;1607319;1799;1618869
sortowanie babelkowe;1900;1803585;1899;1803897
sortowanie babelkowe;2000;1997919;1999;1998847
sortowanie babelkowe;2100;2201934;2099;2203797
sortowanie babelkowe;2200;2418624;2199;2418690
sortowanie babelkowe;2300;2641705;2299;2643619
sortowanie babelkowe;2400;2877369;2399;2878475
sortowanie babelkowe;2500;3123189;2499;3123399
sortowanie babelkowe;2600;3374959;2599;3378322
sortowanie babelkowe;2700;3643350;2699;3643350
sortowanie babelkowe;2800;3913140;2799;3918300
sortowanie babelkowe;2900;4195800;2899;4203250
sortowanie babelkowe;3000;4497834;2999;4498149
sortowanie babelkowe;3100;4802175;3099;4803044
sortowanie babelkowe;3200;5115240;3199;5117965
sortowanie babelkowe;3300;5439609;3299;5442854
sortowanie babelkowe;3400;5775297;3399;5777772
sortowanie babelkowe;3500;6121480;3499;6122754
sortowanie babelkowe;3600;6472205;3599;6477704
sortowanie babelkowe;3700;6837794;3699;6842622
sortowanie babelkowe;3800;7215019;3799;7217539
sortowanie babelkowe;3900;7601097;3899;7602455
sortowanie babelkowe;4000;7997259;3999;7997370
sortowanie babelkowe;4100;8401869;4099;8401915
sortowanie babelkowe;4200;8807889;4199;8816865
sortowanie babelkowe;4300;9238479;4299;9241769
sortowanie babelkowe;4400;9675025;4399;9676672
sortowanie babelkowe;4500;10118834;4499;10121525
sortowanie babelkowe;4600;10571259;4599;10576425
sortowanie babelkowe;4700;11037499;4699;11041984
sortowanie babelkowe;4800;11515830;4799;11516859
sortowanie babelkowe;4900;11989830;4899;12001809
sortowanie babelkowe;5000;12491505;4999;12496680
sortowanie babelkowe;5100;12983340;5099;13001630
sortowanie babelkowe;5200;13515747;5199;13516497
sortowanie babelkowe;5300;14041609;5299;14041647
sortowanie babelkowe;5400;14568915;5399;14576597
sortowanie babelkowe;5500;15118064;5499;15121509
sortowanie babelkowe;5600;15669819;5599;15676420
sortowanie babelkowe;5700;16224005;5699;16241370
sortowanie babelkowe;5800;16808844;5799;16814955
sortowanie babelkowe;5900;17390422;5899;17399839
sortowanie babelkowe;6000;17993259;5999;17994654
sortowanie babelkowe;6100;18599100;6099;18599535
sortowanie babelkowe;6200;19213819;6199;19215009
