algorytm;Wielkosc tablicy;Wartosci losowo;Wartosci rosnaco;Wartosci malejaco
sortowanie babelkowe;100;4674;99;4950
sortowanie babelkowe;200;19780;199;19900
sortowanie babelkowe;300;44597;299;44849
sortowanie babelkowe;400;79722;399;79799
sortowanie babelkowe;500;124450;499;124747
sortowanie babelkowe;600;177684;599;179697
sortowanie babelkowe;700;243909;699;244647
sortowanie babelkowe;800;319369;799;319594
sortowanie babelkowe;900;403647;899;404529
sortowanie babelkowe;1000;498225;999;499490
sortowanie babelkowe;1100;603747;1099;604429
sortowanie babelkowe;1200;717054;1199;719372
sortowanie babelkowe;1300;841190;1299;844322
sortowanie babelkowe;1400;978559;1399;979264
sortowanie babelkowe;1500;1123169;1499;1124214
sortowanie babelkowe;1600;1278072;1599;1279164
sortowanie babelkowe;1700;1442380;1699;1444114
sortowanie babelkowe;1800;1617774;1799;1619055
sortowanie babelkowe;1900;1796175;1899;1803930
sortowanie babelkowe;2000;1995997;1999;1998880
sortowanie babelkowe;2100;2199672;2099;2203830
sortowanie babelkowe;2200;2415330;2199;2418747
sortowanie babelkowe;2300;2641294;2299;2643679
sortowanie babelkowe;2400;2878422;2399;2878547
sortowanie babelkowe;2500;3123009;2499;3123474
sortowanie babelkowe;2600;3376215;2599;3378400
sortowanie babelkowe;2700;3634059;2699;3643244
sortowanie babelkowe;2800;3916647;2799;3918135
sortowanie babelkowe;2900;4201405;2899;4203054
sortowanie babelkowe;3000;4492722;2999;4498004
sortowanie babelkowe;3100;4799964;3099;4802954
sortowanie babelkowe;3200;5110774;3199;5117904
sortowanie babelkowe;3300;5442530;3299;5442789
sortowanie babelkowe;3400;5776155;3399;5777804
sortowanie babelkowe;3500;6121234;3499;6122722
sortowanie babelkowe;3600;6477339;3599;6477570
sortowanie babelkowe;3700;6837479;3699;6842520
sortowanie babelkowe;3800;7209055;3799;7217434
sortowanie babelkowe;3900;7599729;3899;7602347
sortowanie babelkowe;4000;7993050;3999;7997220
sortowanie babelkowe;4100;8390547;4099;8401725
sortowanie babelkowe;4200;8815947;4199;8816469
sortowanie babelkowe;4300;9229647;4299;9241419
sortowanie babelkowe;4400;9670419;4399;9676315
sortowanie babelkowe;4500;10117497;4499;10121265
sortowanie babelkowe;4600;10566375;4599;10576160
sortowanie babelkowe;4700;11020072;4699;11041870
sortowanie babelkowe;4800;11513772;4799;11516739
