Algorytm;Wielkosc tablicy;Wartosci losowo;Wartosci rosnaco;Wartosci malejaco;Pomocnicza
sortowanie babelkowe;0;0;0;0;0
sortowanie babelkowe;10;39;9;45;100
sortowanie babelkowe;20;187;19;190;400
sortowanie babelkowe;30;434;29;435;900
sortowanie babelkowe;40;752;39;780;1600
sortowanie babelkowe;50;1189;49;1225;2500
sortowanie babelkowe;60;1725;59;1770;3600
sortowanie babelkowe;70;2394;69;2415;4900
sortowanie babelkowe;80;3105;79;3160;6400
sortowanie babelkowe;90;3927;89;4005;8100
sortowanie babelkowe;100;4625;99;4950;10000
sortowanie babelkowe;110;5917;109;5995;12100
sortowanie babelkowe;120;7004;119;7140;14400
sortowanie babelkowe;130;8175;129;8385;16900
sortowanie babelkowe;140;9520;139;9730;19600
sortowanie babelkowe;150;11130;149;11175;22500
sortowanie babelkowe;160;12684;159;12720;25600
sortowanie babelkowe;170;14274;169;14365;28900
sortowanie babelkowe;180;16032;179;16110;32400
sortowanie babelkowe;190;17927;189;17955;36100
sortowanie babelkowe;200;19764;199;19900;40000
sortowanie babelkowe;210;21840;209;21945;44100
sortowanie babelkowe;220;23765;219;24090;48400
sortowanie babelkowe;230;26314;229;26335;52900
sortowanie babelkowe;240;28560;239;28680;57600
sortowanie babelkowe;250;31104;249;31125;62500
sortowanie babelkowe;260;33460;259;33670;67600
sortowanie babelkowe;270;36162;269;36315;72900
sortowanie babelkowe;280;38889;279;39060;78400
sortowanie babelkowe;290;41580;289;41905;84100
sortowanie babelkowe;300;44795;299;44850;90000
sortowanie babelkowe;310;47724;309;47895;96100
sortowanie babelkowe;320;51019;319;51040;102400
sortowanie babelkowe;330;53850;329;54285;108900
sortowanie babelkowe;340;57252;339;57630;115600
sortowanie babelkowe;350;60822;349;61075;122500
sortowanie babelkowe;360;63444;359;64620;129600
sortowanie babelkowe;370;68250;369;68265;136900
sortowanie babelkowe;380;71965;379;72010;144400
sortowanie babelkowe;390;75777;389;75855;152100
sortowanie babelkowe;400;79590;399;79800;160000
sortowanie babelkowe;410;83592;409;83845;168100
sortowanie babelkowe;420;87800;419;87990;176400
sortowanie babelkowe;430;91857;429;92235;184900
sortowanie babelkowe;440;95719;439;96580;193600
sortowanie babelkowe;450;99485;449;101025;202500
sortowanie babelkowe;460;105555;459;105570;211600
sortowanie babelkowe;470;110005;469;110215;220900
sortowanie babelkowe;480;114960;479;114960;230400
sortowanie babelkowe;490;118944;489;119805;240100
sortowanie babelkowe;500;124285;499;124750;250000
sortowanie babelkowe;510;129585;509;129795;260100
sortowanie babelkowe;520;134885;519;134940;270400
sortowanie babelkowe;530;140080;529;140185;280900
sortowanie babelkowe;540;144864;539;145530;291600
sortowanie babelkowe;550;150722;549;150975;302500
sortowanie babelkowe;560;156367;559;156520;313600
sortowanie babelkowe;570;161840;569;162165;324900
sortowanie babelkowe;580;167900;579;167910;336400
sortowanie babelkowe;590;173014;589;173755;348100
sortowanie babelkowe;600;179664;599;179700;360000
sortowanie babelkowe;610;185514;609;185745;372100
sortowanie babelkowe;620;190714;619;191890;384400
sortowanie babelkowe;630;197639;629;198135;396900
sortowanie babelkowe;640;204425;639;204480;409600
sortowanie babelkowe;650;210259;649;210925;422500
sortowanie babelkowe;660;217194;659;217470;435600
sortowanie babelkowe;670;223737;669;224115;448900
sortowanie babelkowe;680;229870;679;230860;462400
sortowanie babelkowe;690;235149;689;237705;476100
sortowanie babelkowe;700;242820;699;244650;490000
sortowanie babelkowe;710;251065;709;251695;504100
sortowanie babelkowe;720;258174;719;258840;518400
sortowanie babelkowe;730;265854;729;266085;532900
sortowanie babelkowe;740;272484;739;273430;547600
sortowanie babelkowe;750;279699;749;280875;562500
sortowanie babelkowe;760;286709;759;288420;577600
sortowanie babelkowe;770;295119;769;296065;592900
sortowanie babelkowe;780;303620;779;303810;608400
sortowanie babelkowe;790;310527;789;311655;624100
sortowanie babelkowe;800;319135;799;319600;640000
sortowanie babelkowe;810;327210;809;327645;656100
sortowanie babelkowe;820;335325;819;335790;672400
sortowanie babelkowe;830;343735;829;344035;688900
sortowanie babelkowe;840;352127;839;352380;705600
sortowanie babelkowe;850;360264;849;360825;722500
sortowanie babelkowe;860;368740;859;369370;739600
sortowanie babelkowe;870;377862;869;378015;756900
sortowanie babelkowe;880;383985;879;386760;774400
sortowanie babelkowe;890;395352;889;395605;792100
sortowanie babelkowe;900;404085;899;404550;810000
sortowanie babelkowe;910;412692;909;413595;828100
sortowanie babelkowe;920;422179;919;422740;846400
sortowanie babelkowe;930;429500;929;431985;864900
sortowanie babelkowe;940;440105;939;441330;883600
sortowanie babelkowe;950;449995;949;450775;902500
sortowanie babelkowe;960;460167;959;460320;921600
sortowanie babelkowe;970;469019;969;469965;940900
sortowanie babelkowe;980;478485;979;479710;960400
sortowanie babelkowe;990;487785;989;489555;980100
sortowanie przez wstawianie;0;0;0;0;0
sortowanie przez wstawianie;10;22;9;45;100
sortowanie przez wstawianie;20;95;19;190;400
sortowanie przez wstawianie;30;222;29;435;900
sortowanie przez wstawianie;40;424;39;780;1600
sortowanie przez wstawianie;50;616;49;1225;2500
sortowanie przez wstawianie;60;933;59;1770;3600
sortowanie przez wstawianie;70;1098;69;2415;4900
sortowanie przez wstawianie;80;1596;79;3160;6400
sortowanie przez wstawianie;90;2073;89;4005;8100
sortowanie przez wstawianie;100;2211;99;4950;10000
sortowanie przez wstawianie;110;3348;109;5995;12100
sortowanie przez wstawianie;120;3224;119;7140;14400
sortowanie przez wstawianie;130;4094;129;8385;16900
sortowanie przez wstawianie;140;4726;139;9730;19600
sortowanie przez wstawianie;150;5837;149;11175;22500
sortowanie przez wstawianie;160;5846;159;12720;25600
sortowanie przez wstawianie;170;7791;169;14365;28900
sortowanie przez wstawianie;180;8087;179;16110;32400
sortowanie przez wstawianie;190;9595;189;17955;36100
sortowanie przez wstawianie;200;10710;199;19900;40000
sortowanie przez wstawianie;210;10676;209;21945;44100
sortowanie przez wstawianie;220;12861;219;24090;48400
sortowanie przez wstawianie;230;13537;229;26335;52900
sortowanie przez wstawianie;240;14642;239;28680;57600
sortowanie przez wstawianie;250;15541;249;31125;62500
sortowanie przez wstawianie;260;15883;259;33670;67600
sortowanie przez wstawianie;270;17929;269;36315;72900
sortowanie przez wstawianie;280;18573;279;39060;78400
sortowanie przez wstawianie;290;20599;289;41905;84100
sortowanie przez wstawianie;300;21512;299;44850;90000
sortowanie przez wstawianie;310;24125;309;47895;96100
sortowanie przez wstawianie;320;24673;319;51040;102400
sortowanie przez wstawianie;330;25530;329;54285;108900
sortowanie przez wstawianie;340;28135;339;57630;115600
sortowanie przez wstawianie;350;31293;349;61075;122500
sortowanie przez wstawianie;360;32058;359;64620;129600
sortowanie przez wstawianie;370;33573;369;68265;136900
sortowanie przez wstawianie;380;35131;379;72010;144400
sortowanie przez wstawianie;390;36001;389;75855;152100
sortowanie przez wstawianie;400;40057;399;79800;160000
sortowanie przez wstawianie;410;42855;409;83845;168100
sortowanie przez wstawianie;420;41815;419;87990;176400
sortowanie przez wstawianie;430;47013;429;92235;184900
sortowanie przez wstawianie;440;48044;439;96580;193600
sortowanie przez wstawianie;450;48473;449;101025;202500
sortowanie przez wstawianie;460;52001;459;105570;211600
sortowanie przez wstawianie;470;56925;469;110215;220900
sortowanie przez wstawianie;480;54046;479;114960;230400
sortowanie przez wstawianie;490;59475;489;119805;240100
sortowanie przez wstawianie;500;61666;499;124750;250000
sortowanie przez wstawianie;510;65534;509;129795;260100
sortowanie przez wstawianie;520;66949;519;134940;270400
sortowanie przez wstawianie;530;71315;529;140185;280900
sortowanie przez wstawianie;540;73852;539;145530;291600
sortowanie przez wstawianie;550;74973;549;150975;302500
sortowanie przez wstawianie;560;81584;559;156520;313600
sortowanie przez wstawianie;570;82423;569;162165;324900
sortowanie przez wstawianie;580;85398;579;167910;336400
sortowanie przez wstawianie;590;88515;589;173755;348100
sortowanie przez wstawianie;600;94549;599;179700;360000
sortowanie przez wstawianie;610;91432;609;185745;372100
sortowanie przez wstawianie;620;100826;619;191890;384400
sortowanie przez wstawianie;630;103043;629;198135;396900
sortowanie przez wstawianie;640;96333;639;204480;409600
sortowanie przez wstawianie;650;108469;649;210925;422500
sortowanie przez wstawianie;660;107517;659;217470;435600
sortowanie przez wstawianie;670;116889;669;224115;448900
sortowanie przez wstawianie;680;109173;679;230860;462400
sortowanie przez wstawianie;690;117984;689;237705;476100
sortowanie przez wstawianie;700;120054;699;244650;490000
sortowanie przez wstawianie;710;127228;709;251695;504100
sortowanie przez wstawianie;720;128225;719;258840;518400
sortowanie przez wstawianie;730;139525;729;266085;532900
sortowanie przez wstawianie;740;133942;739;273430;547600
sortowanie przez wstawianie;750;140849;749;280875;562500
sortowanie przez wstawianie;760;141995;759;288420;577600
sortowanie przez wstawianie;770;148547;769;296065;592900
sortowanie przez wstawianie;780;149475;779;303810;608400
sortowanie przez wstawianie;790;152165;789;311655;624100
sortowanie przez wstawianie;800;164423;799;319600;640000
sortowanie przez wstawianie;810;160796;809;327645;656100
sortowanie przez wstawianie;820;167524;819;335790;672400
sortowanie przez wstawianie;830;181443;829;344035;688900
sortowanie przez wstawianie;840;169932;839;352380;705600
sortowanie przez wstawianie;850;178083;849;360825;722500
sortowanie przez wstawianie;860;186758;859;369370;739600
sortowanie przez wstawianie;870;192481;869;378015;756900
sortowanie przez wstawianie;880;191996;879;386760;774400
sortowanie przez wstawianie;890;196300;889;395605;792100
sortowanie przez wstawianie;900;203776;899;404550;810000
sortowanie przez wstawianie;910;201129;909;413595;828100
sortowanie przez wstawianie;920;202542;919;422740;846400
sortowanie przez wstawianie;930;216770;929;431985;864900
sortowanie przez wstawianie;940;221416;939;441330;883600
sortowanie przez wstawianie;950;228639;949;450775;902500
sortowanie przez wstawianie;960;228394;959;460320;921600
sortowanie przez wstawianie;970;228830;969;469965;940900
sortowanie przez wstawianie;980;236023;979;479710;960400
sortowanie przez wstawianie;990;251830;989;489555;980100
sortowanie przez scalanie;0;0;0;0;0
sortowanie przez scalanie;10;13;15;19;33.2193
sortowanie przez scalanie;20;21;40;48;86.4386
sortowanie przez scalanie;30;40;71;77;147.207
sortowanie przez scalanie;40;53;100;116;212.877
sortowanie przez scalanie;50;63;133;153;282.193
sortowanie przez scalanie;60;75;172;184;354.413
sortowanie przez scalanie;70;86;205;227;429.05
sortowanie przez scalanie;80;103;240;272;505.754
sortowanie przez scalanie;90;138;275;317;584.267
sortowanie przez scalanie;100;126;316;356;664.386
sortowanie przez scalanie;110;149;357;395;745.95
sortowanie przez scalanie;120;158;404;428;828.827
sortowanie przez scalanie;130;166;451;463;912.908
sortowanie przez scalanie;140;186;480;524;998.1
